risk_id	affected_families	failure_mode	preventive_design	audit	failure_action
absolute_index_leaks_relative	absolute_position;relative_structural_position	sentence word index and model index correlate	four fixed offsets; source transfer; explicit offset/context controls	compare full vs offset-matched and fixed-length strata	downgrade broad-family claim or mark task ineligible
neutral_prefix_identity	absolute_position	prefix words themselves reveal offset/partition	partition-disjoint one-token prefix vocabularies; multiple prefix choices; no word labels on prefixes	prefix identity probe and leave-prefix-family-out descriptive check	no absolute-family promotion from uncontrolled rows
token_identity_shortcut	relative_structural_position;syntax_morphology	lexical valency/memorization predicts POS/dependency	corpus transfer; discovery vocab only; ambiguous/matched-token strata	matched-token and OOV analyses	call result lexical-sensitive, not structural
entity_surface_memorization	lexical_semantic_content	entity strings and capitalization predict NER	source-disjoint NER corpora; common coarse map	lowercase/capitalization strata and unseen-surface analysis	semantic family cannot promote
source_domain	all	family label is confounded with corpus/domain	families have multiple corpora where feasible; named source sentinel	source classifier and within-source aggregation	limit claim to source/dataset
parser_annotation	structural;syntax	UD treebank conventions differ	coarse common labels; distinct treebanks for roles	per-relation support and transfer confusion matrix	mark non-common labels ineligible
label_imbalance	all	accuracy hides minority failure	macro-F1 primary; majority chance; class minimums	class counts and per-class F1	undefined/ineligible task
subword_multiplicity	lexical;syntax;structural	multi-piece words overweight labels	word tasks use first subword only; absolute task uses all pieces	first/continuation sentinel and alignment fixtures	block run on mismatch
tail_truncation	all	long examples lose nonrandom word classes	max length fixed; exclude incomplete/tail words; count every exclusion	class/source exclusion table	block if undocumented; sensitivity if >10%
special_padding	absolute_position	BOS/EOS/pad make position trivial	add_special_tokens=false; no pad labels	unit fixture asserts eligible positions	block run
duplicate_cross_role	all	confirmation or final sentence appears in discovery	canonical content hash with precedence exclusion	zero intersection assertion	block and rebuild before scoring
offset_variant_leak	all	variants of one sentence split across C1/C2	base-sentence grouping before rendering	group and content hash intersection audit	block and rebuild
label_vocabulary_leak	lexical_semantic_content	confirmation labels/vocab tune discovery	vocabularies and maps frozen from discovery/common ontology	unknown-label counters; no confirmation refit	mark unknowns DROP; block if code refits
probe_selection	all	confirmation chooses alpha/rank/baseline	discovery fit, calibration selection, C1/C2 evaluate only	fit provenance in every model object	invalidate confirmation result
counterfactual_tokenization	all	intended change also changes token count/alignment	automatic tokenizer QA; mark aligned versus unaligned	per-template token counts and edit spans	exclude from token-aligned causal claim
counterfactual_semantics	structural;semantic	template changes unintended meaning/fluency	partition-disjoint templates; declared invariants; adversarial sample review	QA status and reviewed sample digest	exclude failed template before freeze
checkpoint_pseudoreplication	K2 audit	g7 counted as an exchangeable fourth seed	per-checkpoint reporting; g7 only matched g4 regularizer control	gate renderer enforces roles	no seed-level generalization claim
