task_id	tier	family	mode	population	label_definition	primary_metric	construction_source	confirmation_source	eligibility	exclusions	role_in_gate
abs_pos_16	tier1	absolute_position	token_local	all model tokens	floor(model token index / 8), 16 classes over max length 128	macro_f1	all discovery corpora	C1 LinES + WikiNeural val_en	raw-over-stratified-prior-chance lower CI > max(0.02,2SE); >=100/class	padding and special tokens	G1 primary
abs_pos_8	tier1	absolute_position	token_local	all model tokens	floor(model token index / 16), 8 classes over max length 128	macro_f1	all discovery corpora	C1 LinES + WikiNeural val_en	same; >=100/class	padding and special tokens	G1 task variant
relative_quartile	tier1	relative_structural_position	token_local	first subword of corpus word	floor(4*word_index/sentence_words), clipped 0..3	macro_f1	EWT train	C1 LinES test	same; >=100/class	prefix words, continuation subwords, tail-truncated words	G1 primary
head_signed_distance	tier1	relative_structural_position	token_local	first subword of UD word	ROOT or signed head distance L/R in 1,2,3-4,5+ buckets	macro_f1	EWT train	C1 LinES test	same; >=100/class	invalid heads and truncated words	G1 primary
dependency_depth	tier1	relative_structural_position	token_local	first subword of UD word	root depth 0,1,2,3,4+	macro_f1	EWT train	C1 LinES test	same; >=100/class	cycles/invalid heads and truncated words	G1 task variant
boundary_state	tier1	relative_structural_position	token_local	first subword of corpus word	single/initial/final/interior word	macro_f1	EWT + FewNERD	C1 LinES + WikiNeural val_en	same; >=100/class	truncated words	G1 task variant
token_identity_256	tier1	lexical_semantic_content	token_local	first subword of word in discovery top-256 lowercased vocabulary	discovery-only lowercased token class	macro_f1	EWT + FewNERD	C1 LinES + WikiNeural val_en	same; >=50/class	OOV, prefix, continuation and truncated words	G1 primary lexical
lemma_identity_256	tier1	lexical_semantic_content	token_local	first subword of word in discovery top-256 lemma vocabulary	discovery-only lemma/lower-token class	macro_f1	EWT + FewNERD	C1 LinES + WikiNeural val_en	same; >=50/class	OOV, prefix, continuation and truncated words	G1 task variant
ner_coarse	tier1	lexical_semantic_content	token_local	first subword of annotated NER word	O/PER/ORG/LOC/MISC common coarse map	macro_f1	FewNERD train	C1 WikiNeural val_en	same; >=100/class; both O and entity classes	UD rows, continuation and truncated words	G1 semantic sentinel
upos	tier2	syntax_morphology	token_local	first subword of UD word	Universal POS	macro_f1	EWT train	C1 LinES test	raw measurable; descriptive unless family promoted	continuation/truncated words	shortcut/sentinel
deprel_coarse	tier2	syntax_morphology	token_local	first subword of UD word	UD relation before colon	macro_f1	EWT train	C1 LinES test	raw measurable; >=50/class	invalid/truncated words	PCC discriminator
number	tier2	syntax_morphology	token_local	first subword with Number feature	Sing/Plur/other declared feature	macro_f1	EWT train	C1 LinES test	raw measurable; >=100/class	missing feature	morphology sentinel
capitalization	tier2	surface_format_domain	token_local	first subword of word	lower/title/upper/mixed/nonalpha	macro_f1	all discovery	C1 sources	raw measurable	prefix/truncated words	shortcut sentinel
word_length	tier2	surface_format_domain	token_local	first subword of word	character length 1,2,3-4,5-7,8+	macro_f1	all discovery	C1 sources	raw measurable	prefix/truncated words	shortcut sentinel
frequency_bin	tier2	surface_format_domain	token_local	first subword of word	discovery frequency quantile/OOV	macro_f1	all discovery	C1 sources	raw measurable	prefix/truncated words	shortcut sentinel
source_type	tier2	surface_format_domain	token_local	first subword of word	UD versus NER and named corpus (descriptive)	macro_f1	all discovery	C1 sources	raw measurable	prefix/truncated words	domain shortcut sentinel
continuation_status	tier2	surface_format_domain	token_local	all model tokens	prefix/first-subword/continuation	macro_f1	all discovery	C1 sources	raw measurable	padding/special tokens	tokenizer shortcut sentinel
context_offset	tier2	surface_format_domain	token_local	all model tokens	0/16/32/48 neutral-prefix condition	macro_f1	all discovery	C1 sources	raw measurable	padding/special tokens	packing shortcut sentinel
